x,y,z
0.19043,0.375,-1.72949
-1.65723,0.414444,0.426758
-1.74902,0.40414,0.352539
-1.13574,0.229167,0.500977
-0.0830078,0.383387,1.61035
1.83105,0.125,1.16113
1.97168,0.145833,1.43457
0.356445,0.708333,0.418945
-0.59082,0.625,-1.45801
1.54395,0.5625,-1.08496
0.0322266,0.479167,0.0400391
0.588867,0.357355,-0.717773
0.397461,0.520833,0.72168
-1.47949,0.291667,1.83496
-1.44824,0.479167,-1.79785
0.825195,0.481262,0.506836
0.413086,0.666155,0.952148
-1.3916,0.5,-1.85059
1.8252,0.106987,1.18652
0.110352,0.5,0.625977
-0.791992,0.58212,-1.17676
-1.5752,0.610676,-1.93848
-1.4209,0.229167,1.97949
0.584961,0.546107,0.852539
0.317383,0.4375,-0.325195
0.467773,0.384169,1.46387
-1.22754,0.427028,-1.12988
-1.7998,0.520833,-1.86426
-1.59082,0.333333,0.432617
1.84863,0.166667,1.55762
-1.45605,0.344964,1.22168
-0.0693359,0.32754,1.1123
1.95801,0.37827,-0.62793
1.52441,0.38294,-0.0166016
-0.432617,0.25,0.780273
-0.256836,0.365376,1.7002
1.21387,0.505194,-0.713867
1.37793,0.483658,-1.31543
1.67676,0.344497,0.30957
-1.90918,0.413986,0.514648
-0.206055,0.375,1.68262
0.864258,0.5625,0.145508
-0.0771484,0.358821,-0.893555
-0.87793,0.501854,-1.62207
0.891602,0.546789,0.118164
1.5166,0.479167,-0.827148
1.06934,0.479167,-0.907227
0.764648,0.517283,-0.43457
1.46582,0.478719,-0.135742
1.73926,0.365941,0.391602
1.50098,0.308433,1.91895
0.526367,0.522189,-1.97754
-1.8252,0.430468,1.5166
-0.850586,0.354167,-0.739258
-1.78809,0.3125,0.291992
-0.999023,0.463537,-0.74707
-1.83301,0.284434,-1.43652
-0.30957,0.375,-0.737305
1.39551,0.5625,-0.24707
1.62988,0.4443,-0.795898
1.37402,0.410871,0.760742
-1.54785,0.4375,1.08496
-0.436523,0.601893,-1.5791
0.352539,0.727495,0.358398
-1.55762,0.333333,1.65137
1.69238,0.479167,-1.64941
-1.78418,0.476837,1.00293
-0.541992,0.304739,1.72363
-1.59668,0.317854,-1.4248
-1.92676,0.541667,1.9541
-1.30957,0.350296,0.743164
-0.194336,0.354167,-0.141602
0.922852,0.299871,1.5752
-0.600586,0.26157,1.90723
1.2002,0.561087,0.387695
1.75684,0.312132,-0.125977
-0.313477,0.207206,1.2373
-0.598633,0.188286,1.00879
-1.52637,0.291667,1.59863
-1.79395,0.1875,-0.37793
0.295898,0.436755,-1.93262
-1.92871,0.479167,1.93066
0.737305,0.565904,0.454102
-0.555664,0.415828,-1.15918
-0.450195,0.145833,1.41699
0.350586,0.6875,1.25879
1.92871,0.52502,-1.66699
-0.893555,0.510361,-1.43848
1.91113,0.283463,1.5752
0.858398,0.356615,-1.80957
0.717773,0.522283,-0.27832
1.59082,0.354167,-0.0361328
-1.29004,0.416667,0.90918
-0.803711,0.212519,1.20996
-0.0146484,0.39591,-0.186523
-0.645508,0.530757,-1.90527
-0.59668,0.251697,1.81543
-0.745117,0.128881,1.45605
1.03613,0.354167,0.821289
0.891602,0.365494,-1.8252
-1.58887,0.366725,1.98535
1.74512,0.208333,1.00098
-0.0556641,0.208492,1.81152
-0.307617,0.375,1.82715
1.18262,0.505905,0.165039
1.59668,0.270833,0.895508
0.43457,0.48764,-1.8252
0.348633,0.4375,-1.92871
1.1377,0.4375,0.514648
0.995117,0.403412,0.612305
-1.71191,0.177954,-0.795898
-1.79395,0.176241,-0.666992
1.76855,0.39032,1.89746
-1.9248,0.505544,1.94824
1.43848,0.421888,-1.56543
-0.250977,0.260512,1.84668
-0.719727,0.231684,0.483398
-0.557617,0.82336,-1.57715
-0.65332,0.815903,-1.55176
0.56543,0.645833,0.932617
1.6084,0.273579,0.881836
-0.321289,0.214232,1.23145
-0.967773,0.242866,0.530273
-0.573242,0.845922,-1.58301
-0.313477,0.374118,1.83887
0.100586,0.528653,1.54004
0.21582,0.582089,-0.0244141
-0.983398,0.479167,-1.12793
-0.75293,0.135005,1.9209
-0.317383,0.26918,1.95605
-1.31543,0.431076,-1.2334
0.831055,0.474838,0.706055
0.807617,0.291667,1.68457
-0.391602,0.387039,1.68848
-0.75293,0.395833,-0.87793
1.26074,0.322118,-1.84668
1.60059,0.208333,1.07715
0.110352,0.541667,1.56543
-0.231445,0.3125,-0.231445
-1.89746,0.208256,0.0283203
1.94824,0.576777,-1.25879
1.78613,0.237975,0.944336
-1.49707,0.3125,-0.563477
0.897461,0.546747,0.100586
-1.40137,0.284368,0.305664
-1.62207,0.240587,-0.311523
-0.473633,0.4375,1.87598
-0.65332,0.700801,-1.44629
-1.41309,0.389898,-1.13965
-0.293945,0.333333,0.293945
-0.415039,0.293828,0.0888672
0.186523,0.708333,0.137695
-0.229492,0.395833,1.70996
-1.09473,0.145833,1.58887
-1.69629,0.428665,0.727539
-1.51465,0.492111,-1.97559
0.885742,0.502309,0.569336
-0.946289,0.169925,0.819336
-1.75098,0.332598,0.250977
-1.24512,0.271001,-0.0322266
-0.295898,0.230708,1.55957
1.99316,0.0449815,1.26855
-0.97168,0.4375,-0.725586
-0.227539,0.270833,0.870117
-1.49316,0.477167,1.02832
-0.475586,0.33581,-0.936523
-0.12793,0.291667,1.24121
-0.569336,0.232132,1.67285
-0.819336,0.1875,1.29199
-1.09473,0.135646,1.95605
0.749023,0.270833,1.91895
-0.22168,0.396988,0.22168
-1.20801,0.416667,-1.69043
-1.5166,0.3125,1.68848
1.66309,0.458333,0.782227
1.49316,0.541667,-0.350586
0.766602,0.541667,0.329102
1.95996,0.292245,0.217773
1.37207,0.619695,-1.01855
1.97754,0.489466,0.674805
0.75293,0.266912,1.96387
0.80957,0.4375,0.678711
-0.286133,0.355657,0.52832
0.756836,0.506544,0.616211
-0.217773,0.338378,-1.02441
-1.27637,0.449214,-1.75098
-1.47754,0.429804,1.03613
0.129883,0.395306,0.879883
-0.512695,0.276311,0.618164
1.25684,0.458333,-1.29199
0.0556641,0.338032,0.858398
1.84082,0.411222,1.93652
-0.668945,0.875,-1.50488
0.155273,0.420466,0.729492
0.93457,0.375,-1.22949
0.250977,0.689418,0.368164
0.270508,0.418381,-0.329102
-0.838867,0.25,-0.540039
0.28418,0.666667,1.2041
-0.452148,0.222332,0.969727
-1.12402,0.291667,0.905273
0.704102,0.708333,0.0615234
1.47949,0.458333,-0.118164
0.737305,0.5,-0.40332
-1.56348,0.333333,1.43457
-0.385742,0.44768,1.83691
-1.31152,0.18404,1.97363
-1.16504,0.381068,-0.768555
-1.81738,0.164932,-0.610352
1.35449,0.415353,0.745117
0.891602,0.448373,1.31348
0.317383,0.425779,1.55566
0.426758,0.335143,-0.743164
0.813477,0.395833,-1.8916
1.76074,0.324729,0.24707
-1.23926,0.418362,-0.47168
0.791992,0.4375,0.758789
1.36426,0.537491,-0.801758
-1.24121,0.404579,-1.56543
0.500977,0.420811,-0.336914
-0.920898,0.494037,-1.4873
-1.03418,0.445368,-1.51074
-1.62988,0.416667,1.67285
0.651367,0.354167,1.55176
-1.0498,0.473699,-1.97754
0.418945,0.768651,1.02637
-0.915039,0.613299,-1.08691
-1.53809,0.395833,-1.73535
1.12793,0.483195,-1.07715
0.0615234,0.354167,1.78027
0.0595703,0.395833,1.25293
-1.78809,0.416667,1.34863
-1.19043,0.291667,-0.21582
-0.102539,0.542201,0.577148
1.67871,0.117894,1.36426
-1.06543,0.270833,-0.368164
1.39355,0.245267,1.3916
