v0,v1,v2
582,530,913
593,663,597
295,883,286
883,667,115
508,585,22
585,944,467
329,705,468
468,145,189
407,993,415
123,559,345
265,34,470
34,543,470
241,483,266
229,366,471
297,607,692
472,35,179
377,509,568
297,862,473
963,34,265
245,649,306
475,517,878
574,878,69
242,626,423
874,33,81
436,844,477
170,718,477
176,809,769
713,930,629
625,706,299
479,11,46
658,874,626
335,781,645
845,743,764
481,338,73
393,132,482
482,132,79
483,471,266
483,241,748
712,772,243
991,505,55
554,570,368
701,485,804
875,534,872
88,875,29
701,826,276
826,487,276
178,697,66
805,99,19
489,444,611
733,808,108
945,1000,541
184,504,879
491,435,156
317,44,491
503,403,186
492,503,74
674,452,527
674,493,452
41,732,310
412,539,192
57,779,414
495,779,213
496,407,419
593,988,270
523,497,264
234,918,900
669,728,141
208,646,498
3,26,499
444,793,26
683,546,175
198,861,197
598,685,911
598,911,501
705,147,145
358,511,502
503,492,248
532,703,504
504,184,127
148,84,505
505,84,347
773,894,171
478,943,786
230,316,507
507,316,71
161,884,22
884,508,22
446,721,509
607,76,179
534,510,544
180,799,510
511,358,428
558,413,307
638,312,522
57,414,513
694,798,642
643,762,424
514,408,152
658,626,588
914,776,242
465,663,516
516,270,334
475,959,517
290,557,517
518,133,349
533,518,349
519,72,333
579,519,333
687,903,95
77,575,262
521,173,129
521,259,660
522,393,512
312,268,522
770,788,449
942,900,523
294,676,188
67,868,524
525,143,709
591,612,337
836,664,103
398,116,527
116,674,527
528,499,26
528,793,137
159,649,529
529,245,460
919,280,582
594,530,582
365,821,823
823,531,334
647,703,382
504,908,532
816,304,332
816,533,304
534,486,27
534,62,180
535,864,253
253,654,657
847,695,165
536,887,767
146,854,715
281,815,537
612,859,526
538,283,379
443,611,539
539,361,494
331,660,540
774,19,97
734,938,6
541,938,224
542,429,48
542,232,383
543,474,373
780,880,189
510,308,544
308,872,544
545,583,679
545,5,46
303,937,858
31,622,546
951,831,605
738,956,37
216,122,548
549,381,380
394,95,549
550,410,81
970,39,155
551,139,275
551,995,79
992,365,823
823,553,655
796,655,366
533,722,518
554,368,310
494,361,554
273,768,899
137,899,996
556,460,245
265,501,556
973,384,330
557,154,400
558,512,482
590,558,482
395,895,469
120,610,123
560,101,145
560,147,502
311,702,561
112,219,561
562,994,350
562,360,443
273,464,736
736,707,587
822,564,527
873,239,601
634,656,93
565,342,8
566,421,278
77,526,566
876,81,617
876,42,627
509,607,568
568,473,169
53,881,37
623,881,238
570,487,368
61,602,361
571,182,484
820,106,148
572,84,106
198,578,573
573,225,770
574,69,223
281,842,207
575,520,262
566,852,77
886,642,576
90,886,576
